"FIPS","Population","HS","BAorHigher","Owner_Occupied","Uninsured","Poverty","MetroArea","Unemployment","HHIncome_med","HHInc_PercStateTotal","Rural_Urban","UrbanInfCode","EconType","Male","WhiteAlone","BlackAlone","AsianAlone","Hispanic","Multiple"
40071,"44161",32.7,19.1,NA,NA,20.4,"No",4.7,"45700 ",88,"5 - Nonmetro (20,000+ urban pop., not adjacent to metro)","8 - Micropolitan (not adjacent to metro area)","Nonspecialized",NA,NA,NA,NA,NA,NA
40073,"15816",35.4,23.6,NA,NA,9.9,"No",2.1,"59266 ",114.2,"6 - Nonmetro (2,500 to 19,999 urban pop., adjacent to metro)","4 - Noncore (adjacent to large metro area)","Mining",NA,NA,NA,NA,NA,NA
40075,"8729",36.3,17.4,NA,NA,16.9,"No",4.2,"37831 ",72.9,"6 - Nonmetro (2,500 to 19,999 urban pop., adjacent to metro)","6 - Noncore (adjacent to small metro, with a town of ≥ 2,500)","Nonspecialized",NA,NA,NA,NA,NA,NA
40077,"10231",36.2,17.2,NA,NA,17.9,"No",6,"38284 ",73.7,"7 - Nonmetro (2,500 to 19,999 urban pop., not adjacent to metro)","9 - Noncore (adjacent to micro area, with a town of 2,500 to 19,999)","Mining",NA,NA,NA,NA,NA,NA
40079,"49980",40.3,15.1,NA,NA,22.6,"Yes",4.6,"38709 ",74.6,"2 - Metro (250,000 to 1 million urban pop.)","2 - Small (metro, <1 million residents)","Nonspecialized",NA,NA,NA,NA,NA,NA
40081,"34920",39.2,15.1,NA,NA,14.7,"Yes",3.5,"48039 ",92.5,"1 - Metro (1 million+ urban pop.)","1 - Large (metro, 1 million+ residents)","Nonspecialized",NA,NA,NA,NA,NA,NA
40083,"47291",32.1,27.6,NA,NA,10.4,"Yes",3,"69114 ",133.1,"1 - Metro (1 million+ urban pop.)","1 - Large (metro, 1 million+ residents)","Mining",NA,NA,NA,NA,NA,NA
40085,"10134",42.8,14.5,NA,NA,14.6,"No",2.1,"48725 ",93.9,"9 - Nonmetro (rural or < 2,500 urban pop., not adjacent to metro)","9 - Noncore (adjacent to micro area, with a town of 2,500 to 19,999)","Nonspecialized",NA,NA,NA,NA,NA,NA
40087,"39985",33.3,24.2,NA,NA,9.1,"Yes",2.8,"65831 ",126.8,"1 - Metro (1 million+ urban pop.)","1 - Large (metro, 1 million+ residents)","Nonspecialized",NA,NA,NA,NA,NA,NA
40089,"32703",43.5,13.2,NA,NA,21.1,"No",5.5,"37390 ",72,"7 - Nonmetro (2,500 to 19,999 urban pop., not adjacent to metro)","11 - Noncore (not adjacent to micro area, with a town of ≥ 2,500)","Nonspecialized",NA,NA,NA,NA,NA,NA
